,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
232,178,Lake Sockeye,1977,1200,3536,NA,NA,NA,2.946666667
233,178,Lake Sockeye,1978,8000,6807,NA,NA,NA,0.850875
234,178,Lake Sockeye,1979,2200,5213,NA,NA,NA,2.369545455
235,178,Lake Sockeye,1980,280,1972,NA,NA,NA,7.042857143
236,178,Lake Sockeye,1981,3000,5150,NA,NA,NA,1.716666667
237,178,Lake Sockeye,1982,2000,7082,NA,NA,NA,3.541
238,178,Lake Sockeye,1983,10000,NA,NA,NA,NA,0
239,178,Lake Sockeye,1984,1000,NA,NA,NA,NA,0
240,178,Lake Sockeye,1985,1200,NA,NA,NA,NA,0
241,178,Lake Sockeye,1986,6000,3630,NA,NA,NA,0.605
242,178,Lake Sockeye,1987,6000,11399,NA,NA,NA,1.899833333
243,178,Lake Sockeye,1988,4000,NA,NA,NA,NA,0
244,178,Lake Sockeye,1989,NA,NA,NA,NA,NA,0
245,178,Lake Sockeye,1990,3000,NA,NA,NA,NA,0
246,178,Lake Sockeye,1991,1200,NA,NA,NA,NA,0
247,178,Lake Sockeye,1992,10000,NA,NA,NA,NA,0
248,178,Lake Sockeye,1993,15000,NA,NA,NA,NA,0
249,178,Lake Sockeye,1994,NA,NA,NA,NA,NA,0
250,178,Lake Sockeye,1995,NA,NA,NA,NA,NA,0
251,178,Lake Sockeye,1996,NA,NA,NA,NA,NA,0
252,178,Lake Sockeye,1997,NA,NA,NA,NA,NA,0
253,178,Lake Sockeye,1998,NA,9967,NA,NA,NA,0
254,178,Lake Sockeye,1999,NA,8960,NA,NA,NA,0
255,178,Lake Sockeye,2000,NA,7792,NA,NA,NA,0
256,178,Lake Sockeye,2001,NA,7839,NA,NA,NA,0
257,178,Lake Sockeye,2002,7072,5709,NA,NA,NA,0.8072681
258,178,Lake Sockeye,2003,9106,2215,NA,NA,NA,0.243246211
259,178,Lake Sockeye,2004,6332,2275,NA,NA,NA,0.359286166
260,178,Lake Sockeye,2005,6888,3515,NA,NA,NA,0.510307782
261,178,Lake Sockeye,2006,6116,4204,NA,NA,NA,0.687377371
262,178,Lake Sockeye,2007,3800,4515,NA,NA,NA,1.188157895
263,178,Lake Sockeye,2008,280,3862,NA,NA,NA,13.79285714
264,178,Lake Sockeye,2009,3400,4146,NA,NA,NA,1.219411765
265,178,Lake Sockeye,2010,2980,NA,NA,NA,NA,0
266,178,Lake Sockeye,2011,4418,NA,NA,NA,NA,0
267,178,Lake Sockeye,2012,3940,NA,NA,NA,NA,0
268,178,Lake Sockeye,2013,3320,NA,NA,NA,NA,0
269,178,Lake Sockeye,2014,3628,NA,NA,NA,NA,0
